柳氏出自姬姓。魯孝公子夷伯展孫無駭生禽，字季，為魯士師，謚曰惠，食采於柳下，遂姓柳氏。楚滅魯，仕楚。秦幷天下，柳氏遷於河東。秦末，柳下惠裔孫安，始居解縣。安孫隗，漢齊相。六世孫豐，後漢光祿勳。六世孫軌，晉吏部尚書。生景猷，晉侍中。二子：耆、純。耆，太守，號「西眷」。耆二子：恭、璩。恭，後魏河東郡守，南徙汝、潁，遂仕江表。曾孫緝，宋州別駕、宋安郡守。生僧習，與豫州刺史裴叔業據州歸于後魏，為揚州大中正、尚書右丞、方輿公。五子：鷟、慶、虬、檜、鸑。

鷟，後魏臨淮王記室。	帶韋字孝孫，後周黃門侍郎、康城愷公。	祚，隋司勳侍郎。	震，鄆州刺史。	俊，棣州刺史。	　	　	　	　	　	　	　
　	　	　	愈字退之，吏部侍郎，謚曰文。	昶。	綰字持之。	　	　	　	　	　	　
　	　	　	　	　	衮字獻之。	　	　	　	　	　	　
　	　	　	　	州仇，富平令。	　	　	　	　	　	　	　
　	　	雲卿，禮部郎中。	俞，開封令。	无競，河南參軍。	　	　	　	　	　	　	　
　	　	　	　	啟餘，潤州司功參軍。	　	　	　	　	　	　	　
　	　	　	　	州來，唐興令。	　	　	　	　	　	　	　
　	　	紳卿，京兆府司錄參軍。	岌，虢州司戶參軍。	家。	　	　	　	　	　	　	　
　	　	升卿，易州司法參軍。	　	　	　	　	　	　	　	　	　
河東太守純四世孫安之，晉員外郎。二子：潛、恬。恬，玄菟太守。二子：都、偃。偃，臨江令，生後魏從事郎中穎。穎生播，字遠游，徙昌黎棘城。二子：勵、紹。紹字延宗，揚州別駕。二子：弈、胄。

胄字弘胤，北齊膠州刺史。	護字靈祐，後周商州刺史、洪雅公。	賢字思齊，隋鄧州刺史，襲黃臺公。	符字節信，巫州刺史。	大壽，吏部郎中。	歸仁，上黨令。	曜。	詢。	　	　	　	　
　	　	　	　	　	　	延慶。	諶，朝邑令。	　	　	　	　
　	　	　	　	　	　	　	鍊。	　	　	　	　
　	　	　	　	　	僎，獲嘉主簿。	光期。	鉞，宋城令。	　	　	　	　
　	　	　	　	　	　	　	鋒，武功尉。	紓。	朴。	　	　
　	　	　	　	　	　	　	　	　	延範。	　	　
　	　	　	　	　	　	　	華，衞尉少卿。	署。	師魯。	　	　
　	　	　	　	　	　	　	　	君祐，涪州刺史。	道紀。	　	　
　	　	　	　	　	　	　	鎮，藍田令。	纁，三水令。	繇，大理評事。	　	　
　	　	　	　	大智字不惑，洛州司戶參軍。	偲，祕書郎。	滔，輔唐令。	暈，丹楊令。	　	　	　	　
　	　	　	　	　	　	　	阜，長水丞。	　	　	　	　
　	　	　	　	　	　	　	舉，殿中侍御史。	寮，秋浦令。	郔。	　	　
　	　	　	　	　	　	　	　	　	鄂。	　	　
　	　	　	　	　	　	　	　	　	都。	　	　
　	　	　	　	　	　	　	　	　	邢。	　	　
　	　	　	　	　	　	　	　	　	邲。	　	　
　	　	　	　	　	　	　	　	居厚。	鐔，殿中侍御史。	　	　
　	　	　	　	　	　	　	　	　	𨜖。	　	　
