唐為國久，傳世多，而諸臣亦各修其家法，務以門族相高。其材子賢孫不殞其世德，或父子相繼居相位，或累數世而屢顯，或終唐之世不絕。嗚呼，其亦盛矣！然其所以盛衰者，雖由功德薄厚，亦在其子孫。作宰相世系表。

裴氏出自風姓。顓頊裔孫大業生女華，女華生大費，大費生皐陶，皐陶生伯益，賜姓嬴氏。生大廉，大廉五世孫曰仲衍，仲衍四世孫曰軒，軒生潏，潏生飛廉，飛廉生惡來，惡來生女防，女防生旁皐，旁皐生太几，太几生大駱，大駱生非子，周孝王使養馬汧渭之間， 以馬蕃息，封之於秦為附庸，使續嬴氏，號曰秦嬴。非子之支孫封𨛬鄉，因以為氏，今聞喜𨛬城是也。六世孫陵，當周僖王之時封為解邑君，乃去「邑」從「衣」為裴。裴，衣長貌。一云晉平公封顓頊之孫鍼於周川之裴中，號裴君，疑不可辨。陵裔孫蓋，漢水衡都尉、侍中，九世孫燉煌太守遵，自雲中從光武平隴蜀，徙居河東安邑，安順之際徙聞喜。曾孫曄，幷州刺史、度遼將軍。子茂字巨光，靈帝時歷郡守、尚書，率諸將討李傕有功，封陽吉平侯。三子：潛、徽、輯。

西眷裴出自陽吉平侯茂長子徽，字文秀，魏冀州刺史、蘭陵武公，以其子孫多仕西涼者，故號西眷。四子：黎、康、楷、綽。黎字伯宗，一名演，游擊將軍、祕書監。二子粹、苞。粹，晉武威太守。二子：詵、暅。詵，太常卿，避地涼州，及苻堅克河西，復還解縣，生劭，劭生和，和生鍾，鍾生景惠。

景惠，後魏州別駕。	會。	韜。	融，後周司木大夫。	孝瑜，儀同大將軍。	該。	　	奐，戶部員外郎。	　	　	　	　
　	　	　	　	　	　	昱，鼓城令。	洽，左司禦兵曹參軍。	　	　	　	　
　	　	　	　	　	　	　	濟，明法。	　	　	　	　
　	　	　	　	　	　	　	液。	　	　	　	　
　	　	　	　	　	　	　	澈。	　	　	　	　
　	　	　	　	歸仁，潞府司兵參軍。	知柔，夷州司馬。	襲治。	廣。	　	　	　	　
　	　	　	　	　	　	　	嗣。	　	　	　	　
　	　	　	　	　	守祚，下邳令。	令溫，房豫陝三州刺史。	導。	　	　	　	　
令寶二子：彥先、彥遠。彥遠生鑒，鑒生獻。

獻隋扶州刺史、臨汾公。	義山。	爽。	　	　	　	　	　	　	　	　	
　	　	知節，南和令。	倩。	士淹，禮部尚書、絳郡公。	登。	　	　	　	　	　	　
　	　	　	　	　	通字文玄，檢校禮部尚書。	　	　	　	　	　	　
　	　	　	　	　	嬰，閬州刺史。	　	　	　	　	　	　
　	　	　	　	士南。	　	　	　	　	　	　	　
　	　	行本，相武后。	　	　	　	　	　	　	　	　	　
　	羅，隋魏郡丞。	公緯，祠部郎中。	瑾之，倉部郎中。	漼，太子賓客、正平懿公。	兗。	　	　	　	　	　	　
　	　	　	琰之。	緬。	系，諫議大夫。	　	　	　	　	　	　
　	　	公繹，邢州長史。	延昕，婺州刺史。	　	　	　	　	　	　	　	　
　	　	　	無悔，袁州長史。	卓，岐州刺史。	騰，戶部郎中。	涗，員外郎。	　	　	　	　	　
　	　	　	　	　	　	淙。	　	　	　	　	　
　	　	　	　	　	　	沖。	　	　	　	　	　
　	　	　	　	　	　	汶，湖州刺史。	　	　	　	　	　
　	　	　	　	　	　	渾。	　	　	　	　	　
